timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-07-12 18:52:18.182260	[0.048120593313127756, 0.09477628465493525, 1.189]	[-0.23350107640028, 0.0573581562042237, 1.824]	[-0.042910350803285834, 0.2346591466665268, 1.22]
2024-07-12 18:52:18.378675	[0.02542241799831394, -0.007513589143753052, 1.572]	[-0.17571172880753874, -0.03867165898283326, 1.547]	[-0.0426099915727973, 0.22951542431116106, 1.221]
2024-07-12 18:52:18.578132	[-0.037022332733497046, -0.04035344088077546, 1.5210000000000001]	[-0.12822623790241774, -0.060845552007357306, 1.543]	[-0.04098097697272897, 0.230640051484108, 1.221]
2024-07-12 18:52:18.776210	[-0.0656868443582207, -0.04457894659042358, 1.543]	[-0.09472051436640319, -0.050564136077960356, 1.559]	[-0.042100196896120906, 0.22303668701648713, 1.226]
2024-07-12 18:52:19.036543	[-0.07219943571835756, -0.028301155567169188, 1.55]	[-0.07894485297985375, -0.0359110688865185, 1.551]	[-0.042209861719049516, 0.2204170784056187, 1.231]
2024-07-12 18:52:19.252398	[-0.07119537092931567, -0.03282166701555252, 1.547]	[-0.07755661565065382, -0.04377281459172564, 1.552]	[-0.04188771560043097, 0.22116243106126787, 1.229]
2024-07-12 18:52:19.451607	[-0.07208504592999815, -0.03240989148616791, 1.55]	[-0.07748665116727355, -0.04450193595886231, 1.556]	[-0.04140145543031394, 0.2224531602859497, 1.23]
2024-07-12 18:52:19.729091	[-0.060078474551439304, -0.04670424064000451, 1.544]	[-0.09594616385735573, -0.04712592742840452, 1.567]	[-0.04107899927347899, 0.21745698630809784, 1.236]
2024-07-12 18:52:19.927059	[-0.018002960588783028, -0.01350256115198133, 1.305]	[-0.13441499233245852, -0.04570225721597672, 1.582]	[-0.04092039948329329, 0.22415000665187834, 1.228]
2024-07-12 18:52:20.125641	[-0.005542658396065221, -0.012791117310523962, 1.311]	[-0.14028062260709706, -0.03609935805201531, 1.585]	[-0.040512912288308146, 0.22024864995479587, 1.231]
2024-07-12 18:52:20.338370	[-0.0030066036991775167, -0.011070197592178956, 1.307]	[-0.14009400978684425, -0.0360320506095886, 1.584]	[-0.040245605911128225, 0.2226998634338379, 1.227]
2024-07-12 18:52:20.598185	[-0.0015122927036136523, -0.00505424406131111, 1.301]	[-0.14119288017041978, -0.03587729430198669, 1.579]	[-0.04035247668530792, 0.22584696486592293, 1.223]
2024-07-12 18:52:20.811793	[0.0001661396808922291, -0.007284199426571552, 1.303]	[-0.14111675710603597, -0.03716538580258691, 1.574]	[-0.04067275045439601, 0.22342926037311553, 1.228]
2024-07-12 18:52:21.074578	[0.0007605968602001395, -0.008625889420509314, 1.305]	[-0.14164933981373903, -0.03575051575899127, 1.575]	[-0.04049217988550663, 0.2275232183933258, 1.224]
2024-07-12 18:52:21.279901	[0.0010787517428398133, -0.0056017407774925235, 1.302]	[-0.14248666679486632, -0.03333685174584386, 1.575]	[-0.04021062981337309, 0.2270708177089691, 1.224]
2024-07-12 18:52:21.555218	[0.0018880018293857574, -0.001090890884399414, 1.296]	[-0.18149859285168352, -0.03260111080606782, 1.853]	[-0.040314322211779656, 0.22751592978835106, 1.223]
2024-07-12 18:52:21.753828	[0.021265492916107142, 0.17005624771118172, 1.824]	[-0.6605484027676284, 0.33722951602935813, 5.787]	[-0.04114908884838223, 0.22286456477642058, 1.228]
2024-07-12 18:52:22.015447	[0.07861558961123229, 0.19021678642431902, 1.826]	[-0.21846909856796268, 0.06781099923451736, 1.808]	[-0.041716707257553935, 0.2281497142314911, 1.222]
2024-07-12 18:52:22.277669	[0.01121089254319671, -0.11247222324212396, 1.532]	[-0.1537248037867248, -0.14115855279564857, 1.629]	[-0.04109990981686861, 0.22931666958332064, 1.221]
2024-07-12 18:52:22.555939	[-0.006145223317667858, -0.10928425301114715, 1.553]	[-0.13092330414801834, -0.12211646962165836, 1.548]	[-0.03924190425407142, 0.22351487687230112, 1.229]
2024-07-12 18:52:22.767992	[0.05615575754642483, 0.0017690546115238892, 1.538]	[-0.23000804590433838, -0.03636005791028338, 1.846]	[-0.04111896609049291, 0.22971483403444293, 1.221]
